,id,input,highlights,,,,,,,,,,,,,,,,
3102,7d69c4e692b2c86e6e41a761e038e2cfa3d1fdc9,"The greatest challenge to Rory McIlroy's grand slam bid or Tiger Woods' latest comeback at this week's Masters could come from Mother Nature. Players endured rainy spells during their  practice on Tuesday with forecasts that the wet weather is set continue once the tournament gets underway  on Thursday April 9. The typically warm and humid Georgia weather is expected to be unsettled by a cold front heading into Augusta for the weekend, which is likely to bring more showers and thunderstorms, especially on Friday and Saturday. Rory McIlroy hides under an umbrella as the heaven's open during practice on Tuesday . World No 1 makes his way through the rain ahead of his bid to complete a career grand slam . Dark clouds gather over the course as England's Lee Westwood practices his putting . The practice round ahead of the tournament was disrupted by bad weather in Augusta . McIlroy's caddie J.P. Fitzgerald holds an umbrella over the player's head to let him take a putt . Spectators, wrapped in an assortment of weatherproofs, are caught in a deluge while walking the course . Despite using an umbrella to shield himself from the elements on Tuesday, McIlroy could find himself facing record high temperatures on the first day of play - with the mercury expected to reach 90F, approaching the record 91F set in 2011. Augusta National has its own weather centre where officials can keep an eye on any extreme changes and evacuate players, spectators and staff from the course if necessary. According to Accuweather.com, Thursday and Sunday will likely be the best weather days at the tournament while Friday and Saturday carry potential for storms with strong winds. Many spectators were forced to watch their heroes hone their swings from under shelter, although the course's state of the art drainage system mean that play is unlikely to be delayed. Weather reports have forecast unseasonably high temperatures and stormy weather across the four days . Spectators may have to get used to taking cover beneath trees, especially on Friday and Saturday . A cold front coming over Georgia is likely to bring more stormy weather and strong winds . Golf fans flock to leave August National as the rain pours down on Tuesday . Spectators under shelter take a look at the tournament's order of play, beginning on Thursday morning . Water puddles on a seat with the Masters' logo with the start of the tournament only a day away .","Golf's first major of the season, the Masters, tees off on Thursday April 9 .
Rory McIlroy is bidding for a career grand slam while Tiger Woods is back .
Extreme weather conditions including high temperatures and storms have been forecast across the four day event in Augusta .
CLICK HERE for all the latest news from The Masters 2015 .",,,,,,,,,,,,,,,,
8003,a5e9c4440c4dd8a2fa3ab9620df7db85c216ee8d,"(CNN)Recently, Robert Kennedy Jr. was in Sacramento, California, to campaign against Senate Bill 227, which makes it harder for parents to opt out of vaccinations. In his remarks at an anti-vaccination movie screening, he decided to compare ""vaccine-induced"" autism to the Holocaust. He said, ""They get the shot, that night they have a fever of a hundred and three, they go to sleep, and three months later their brain is gone,"" Kennedy said. ""This is a holocaust, what this is doing to our country."" A few days later, he apologized to people who were outraged on behalf of the memory of the Holocaust. To many, it's sacrilege to compare any lesser issue to the horrors perpetrated by the Nazis. In a statement, Kennedy said, ""I want to apologize to all whom I offended by my use of the word to describe the autism epidemic. I employed the term during an impromptu speech as I struggled to find an expression to convey the catastrophic tragedy of autism, which has now destroyed the lives of over 20 million children and shattered their families."" Robert Kennedy Jr. has apologized for the wrong things. First and foremost, vaccines do not cause autism. The two have nothing to do with each other. Second, he seems to think people with autism are ""gone,"" their lives ""destroyed"" and their families ""shattered."" Autism is not a death sentence. People with autism are not missing or destroyed. They are everywhere, trying to live their lives in a society that too often demeans them as subhuman, missing or worthless. Kennedy's rhetoric is a problem, even beyond the fraudulent basis for his claims about vaccines. People who believe autism is an environmental disease try to cure kids with quack treatments like giving them bleach-based enemas. Others, believing autism functions as a death sentence, even kill their children. I am worried about the effect of having such a powerful, high-profile member of our political class endorse this demeaning depiction of life with autism. I reached out to a number of autistic activists for comment. Ari Ne'eman, president of the Autistic Self-Advocacy Network, wrote, ""Robert Kennedy Jr, who has engaged with autism only to spread lies, misinformation and dehumanizing rhetoric, has never meaningfully engaged in efforts to improve the lives of autistic Americans. While his father, uncle and many others in the Kennedy-Shriver family championed the rights of people with disabilities, he has instead cast his lot with those who use pseudo-science to question our humanity."" These are harsh words, but try to see the situation through Ne'eman's eyes. Not only is Kennedy perpetuating a discredited theory, but he's also suggesting that it's better to let your children get preventable and sometimes fatal diseases than risk becoming autistic. The usual response to people like Ne'eman is that he is ""high functioning,"" but what of the burden to families who are struggling to care for less able individuals? Henry Frost, an autistic teenager and writer, is devastated by this focus on burden. Last year, he wrote a post to other autistic children: ""Know you are not a burden or trouble for being. You are a person who has every right to be. A family that is saying love but saying you are so hard so wrong for not being as they wanted. The family is wrong. Not You."" Meanwhile, Amy Sequenzia, an autistic activist and blogger, wrote, ""I am very disabled, have most of the usual not autism but co-occurring conditions, seizures almost every day, but am happy, proud and accomplished, with the human supports I have. That's what is missing. Acceptance."" As children, Sequenzia and Frost might well have been just the kinds of people labeled as ""gone,"" by Kennedy. Clearly, both are very much present. The solution lies in understanding autism and related conditions as part of human diversity. Michael S. Monje Jr., an autistic writer and editor with Autonomous Press, wrote, ""The neurodiversity movement is a direct counter to this kind of attitude. It is a way for autistic people, as well as anyone else who experiences the world differently due to their neurology, to assert that these natural divergences in human development are just that -- natural. The fact that they are largely unsupported by our society as it is currently configured does not make them in any way less natural, less worthy, or less beautiful than other ways of being in the world."" I wish Kennedy realized how much his apology demeaned people with intellectual disabilities, even as he defended the sacred status of the Holocaust. There is, though, one story from the Holocaust that he might do well to consider. The first group the Nazis systematically exterminated, in the infamous Action T4, were people with intellectual and other kinds of disabilities.  Thousands of children, adolescents and adults were sent to gas chambers, laying the groundwork for the later, larger scale acts of genocide. Underlying Action T4 was the belief that people with disabilities were devoid of value. We fight those beliefs by celebrating neurodiversity, not by fearmongering. Kennedy owes a lot of people another apology.","David Perry: Robert Kennedy Jr. compared autism to the Holocaust, wrongly tied it to vaccines .
He says it's sad such a prominent Kennedy demeans people with autism .",,,,,,,,,,,,,,,,
11403,72ca1a74a574c23c6c92b78eb52d440e5831de7d,"At the Ballon d'Or ceremony in January Carlo Ancelotti and Diego Simeone were runners-up as Joachim Low won the best coach award for guiding Germany to the World Cup. As the two men small-talked in Zurich, Simeone is understood to have asked Ancelotti how life was in Madrid and his answer demonstrated perfectly the dynamic between the two men. He said he was happy in the city and keen to stay, but that life would be a lot easier if Simeone were not on the other side of town managing Atletico Madrid. Having already lost the Spanish Super Cup to Simeone at the start of the season, and the first league meeting between the two teams, since the FIFA gala Ancelotti has been knocked out of the Copa del Rey by his nemesis and beaten 4-0 in the league. The pressure is on Carlo Ancelotti and Real Madrid when Atletico Madrid visit the Bernabeu on Sunday . Ancelotti reportedly told Diego Simeone that life in Madrid would be a lot easier if Atletico weren't around . Simeone (left) and Ancelotti (right) were runners-up behind Joachim Low at the Ballon d'Or in January . 'We don't need to beat them, we just need to go through' was how he approached the first leg of the Champions League quarter-final. That would have been fine had Real marked-up a high-scoring draw in the Calderon but the 0-0 somehow scraped by Atletico Madrid last Tuesday means that now a draw will not send Real Madrid through. Carlo needs to beat Diego – or else it's either elimination or penalties. Ancelotti's overall record against Simeone is poor with just three wins in 12 games. He has been beaten twice by his team in the league this season, losing one and drawing one in the domestic competition last season. He did win both legs of a Copa del Rey tie last season but this season Atletico got their cup revenge with an away draw and a home win to knock Real out. Atletico also won the Spanish Super Cup in August. The overall record is 12 played, three won, four drawn and five lost. The games are tight, usually low scoring and uncomfortably physical for Real who, Sergio Ramos and Pepe aside, are short of players who have quite the same appetite for a battle. Ancelotti may well pick both on Wednesday night, and a third centre back in Rafael Varane as he looks to match the visitors for force. If all three are picked Pepe would step into a midfield enforcer's role that he has not occupied since the days of Jose Mourinho. Real Madrid have struggled against Atletico in recent years and were beaten 4-0 in La Liga in February . The headlines from Spanish publications AS and Marca on Wednesday focused on the huge derby game . The Champions League quarter-final first leg finished 0-0 after a physical game at the Vicente Calderon . There are seven players who a booking away from missing the first leg of the semi-final and German midfielder Toni Kroos, who is among them, has already lit the blue touch paper suggesting Atletico Madrid's players are experts in pressuring the referee. The question of what will happen to Ancelotti if he loses has already been extensively debated in Madrid. It wouldn't necessarily be the end of him but he would certainly have to overhaul Barcelona's two point advantage in the league – winning nothing would be grounds for automatic dismissal regardless of the Champions League he delivered last season. At times this season his team has looked like surpassing the exploits of last year's campaign – the run of 22 straight wins that also saw them crowned World Club champions in December in Malaysia was the stuff of future legend but the season collapsed in February and the bouquets for the Italian turned into brickbats overnight. Toni Kroos is a yellow card away from European suspension while Ancelotti has several players missing . The Italian coach watches his players, including Cristiano Ronaldo (centre) train in Madrid on Monday . Injuries played their part in the massive downturn. Sergio Ramos and Pepe were missing from defence and Luka Modric and James Rodriguez from midfield. Supporters bemoaned the fact that Cristiano Ronaldo, Gareth Bale and Karim Benzema should still have been able to carry the team to victories but that view did a huge disservice to the way Modric controls games, Rodriguez loads the bullets for the front three to fire, and Pepe and Ramos' pace enables the team to play ten yards higher up the pitch than when they are not available. Just when it seemed Real would be at full-strength for the run-in Modric has gone down with knee ligament trouble likely to rule him out for six weeks and Benzema, Bale and Marcelo are also all missing on Wednesday night. Ancelotti resisted the opportunity to get his excuses in early on Tuesday when he said he had the 'best squad in the world'. He will hope that message of confidence inspires his players at the Bernabeu. And of course in among all the bad omens there is one exceptionally positive precedent: in Lisbon last May, Madrid beat Atletico Madrid 4-1 and lifted the European Cup. If Ancelotti and Real were to lose on Wednesday night then only La Liga glory would be enough to save his job . Cristiano Ronaldo struck in the Champions League final in a rare 4-1 victory for Real against their city rivals .","Real Madrid host Atletico in Champions League quarter-final second leg .
First leg at Vicente Calderon finished 0-0 after physical encounter .
Carlo Ancelotti reportedly spoke to Diego Simeone about life in Madrid .
Italian boss told him life would be a lot easier if Atletico weren't around .
Real must win at the Bernabeu to go through, and Ancelotti may not last .
Winning nothing at Real Madrid results in an automatic dismissal .
Galacticos are currently two points adrift of La Liga leaders Barcelona .
Ancelotti has only won three times in 12 games against Simeone's Atletico .",,,,,,,,,,,,,,,,
2130,c1db130d946d3c961edbaf9983c1ecb5e69629b8,"An NFL defensive back with a history of legal problems is being investigated after reports of an early-morning incident involving a physical fight and at least one shot being fired at a Texas club. Denver Broncos cornerback Aqib Talib and his brother are being investigated for aggravated assault after an altercation at a Dallas-area nightclub on Wednesday morning, according to reports. During a 2011 incident involving two guns when he playing for the Tampa Bay Buccaneers, Talib and his mother were accused of shooting a gun at his sister's live-in boyfriend in Garland, Texas. Denver Broncos cornerback Aqib Talib and his brother Yaqub are being investigated for aggravated assault . Talib was in trouble before and was wanted on charges of aggravated assault with a deadly weapon in 2011 . During the latest incident, a shot was fired outside of Club Luxx in Dallas, Texas, after a physical fight inside . During the incident on Wednesday, Talib and his brother Yaqub had a physical altercation with someone inside Club Luxx and then a shot was fired outside around 2am, WFAA reported. When Dallas officers responded to the active shooter call, the man who called police said three black men had been involved in a disturbance and one of them had tried to punch him. The man also said one of the men pulled out a gun and aimed it at him before firing a round off into the sky outside the bar and causing 'an immediate panic'. The Talibs left the area in a Range Rover and a Jaguar and went to the XTC Cabaret. Police found the brothers at the second club and impounded the vehicles to look for evidence. The brothers were both questioned and an investigation into the incident is ongoing. The general manager of Club Luxx, confirmed the Talibs were at the club but denied that anything with a gun transpired, the Dallas Morning News reported. Hanney Kamal said: 'One-hundred percent that did not happen. 'I was there. Somebody might have called the police because there was a yelling argument. Talib signed a six-year, $57 million contract last year . 'It's athletes — someone sees them yelling and dials 911. 'Everyone was asked to leave the club, which they did of their own free will, and that was it.' Broncos vice president of public relations Patrick Smyth said: 'We have been in touch with Aqib regarding these reports and will continue to monitor this situation.' Dallas police falsely reported Talib had been arrested for throwing bottles last June during an NFL camp afterparty, the Denver Post reported. The police apologized after it ended up being Yaqub who was arrested. During the 2011 incident in Garland, felony warrants were issued for Talib and his mother Okolo Talib on charges of aggravated assault with a deadly weapon. Police suspected them both of firing shots from a Ruger .380 handgun at Shannon Billings, the boyfriend of Talib's sister, and also believed the NFL back attempted to pistol-whip Billings with a Springfield 9mm semiautomatic handgun during the incident, the Boston Globe reported. They had apparently learned Billings was being physically abusive towards their family member. Talib, who owned both weapons. reportedly yelled during the pistol-whipping: 'You're going to make me throw away my career.' The charges were dropped because prosecutors believed Billings, a registered sex offender with the state of Texas, would not make a credible witness. Garland Police spokesman Joe Harn said: 'It was very fortunate no one was killed and no one was hurt seriously. 'There wasn't a great deal of distance from one person to the other that was shooting.' After the 2011 incident, a felony warrant was issued for  Okolo Talib for an assault with a deadly weapon charge . In addition to playing for the Broncos, Talib has also played for the New England Patriots and Tampa Bay Bucs . In addition to the gun incidents, Talib was investigated after an alleged assault on a Florida cab driver. He then resisted arrest on charges of simple battery. The shutdown corner also fought with teammates and was suspended for violating the NFL's policy on performance-enhancing substances. Talib signed a six-year, $57 million contract with Denver in March 2014. He also has played for the New England Patriots during his seven-year career. During his time with the reigning Super Bowl champs, Talib said: 'I'm a competitor on the field, man. 'That's kind of what we're talking about right now, just football.' If charges are brought with regard to the incident in Dallas, Talib could face discipline under the NFL's personal conduct policy and a suspension seems possible given his history. Talib was investigated after an alleged assault on a Florida cab driver and resisted arrest on a battery charge .","Denver Bronco Aqib Talib and brother are being investigated for assault .
Talibs were reportedly involved in physical fight at Club Luxx in Dallas .
The vehicles they left in, a Range Rover and a Jaguar, were impounded .
Man who called police said someone aimed at him before firing gun in air .
Dallas club manager refuted assault claim and said there was no gun shot .
Talib and mother were charged with assault with a deadly weapon in 2011 .
They reportedly both fired multiple shots at the boyfriend of Talib's sister .
The 29-year-old had charges dropped after that incident involving two guns .",,,,,,,,,,,,,,,,
3401,98650fcb5bf990c6c0850b50f8a0b24420ea2684,"Manny Pacquiao took time out of his busy schedule to hang out with Saved by the Bell actor Mario Lopez, otherwise known as AC Slater, and NBA superstar Jeremy Lin. Pacquiao said of meeting Los Angeles Lakers guard Lin: 'Thank you @JLin7 for coming to show your support. Thank for showing your love for the Lord and being a good example.' The Filipino appears to be in fine fettle ahead of his highly-anticipated showdown against Floyd Mayweather with Pacquiao taking to social media to show off his ripped physique. Manny Pacquiao poses for a picture with NBA superstar Jeremy Lin and Saved by the Bell actor Mario Lopez . Pacquiao took to Instagram to show off his ripped torso ahead of his fight against Floyd Mayweather . Welterweight boxer Pacquiao is all smiles after meeting up with Los Angeles Lakers star Lin . The 36-year-old posted an Instagram snap of himself tensing his upper torso while posing in a boxing ring. Pacquiao said on Twitter: 'Only 18 more days until the blessed event. See you in Las Vegas! #TeamPacquiao #MayPac.' Mayweather's upcoming opponent has been stepping up his training programme in LA with the welterweight boxer recently pictured jogging around Griffith Park. Pacquiao trains inside the ring as he steps up his training programme ahead of the Las Vegas bout on May 2 . Pacquiao poses up, surrounded by boxes full of Butterfinger Cups - an American biscuit brand . Meanwhile, Mayweather has admitted he has fallen out of love with boxing and will have just one more fight after his bout with Pacquiao. Mayweather, speaking to Sportsmail's Jeff Powell during a media workout at his gym, said: 'I'm pretty much done with all this. 'It's not fun like it was back then. It's business now. I don't really enjoy it any longer.' Mayweather works out with his trainers as the media swarm around the ring to get a glimpse of the superstar . Mayweather hits a speed bag as he works out in front of a poster of Pacquiao with his eyes and mouth taped .","Manny Pacquiao posed for a picture with Jeremy Lin and Mario Lopez .
The Filipino took to Instagram to post snap of his ripped physique .
Pacquiao is counting down the days 'until the blessed event' in Las Vegas .
READ: Floyd Mayweather admits he no longer enjoys boxing'
CLICK HERE to watch Pacquiao's open media workout live .",,,,,,,,,,,,,,,,
2089,dd59bc36265401245794686e7c3cffd4123527f7,"Some tour guides will do anything for a good tip. In the Australian outback, if you want to get up-close and personal with a mob of local Emus, you need a guide who will get down and dirty ... apparently. In a video posted online by YouTube user Ratbag Nomad, one man, referred to as Australianwidefishingguide, shows tourists how it's done. Emus are notoriously curious flightless birds of Australia . As the tour guide started peddling his legs slowly in the air, the mob of emus started coming closer . And closer . The video, filmed from a vehicle on an empty dirt road in the bush, shows the guide lying down on his back and kicking his legs in the air to lure a mob of emus in the distance. Peddling his legs to the sky, he looks like something between  an up-side down bicycle rider and a dead cockroach. Sure enough, the Emus - known to be especially curious birds - come close to see what's going on, then scatter as the guide leaps to his feat. A good leg in the air does the trick . As the guide leapt to his feet, the inquisitive birds scattered . It's thought to be an old Aboriginal trick to catch an emu - whose meat was highly valued for its oils. Emus belong to the same family of flightless birds as the ostrich and the cassowary. Capable of reaching running speeds of up to 70 km/hour, they're said to be able to 'run the pants off a Kangaroo.' The manoeuvre is thought to be an old Aboriginal trick to catch an emu - a bird whose meat was highly valued for its oils but who are too fast to catch on foot .","Tour guide gets down in the dirt to attract a mob of emus in the outback .
The flightless birds are able to reach running speeds of 70 kms/hr .
The manoeuvre is thought to be an old Aboriginal technique to catch emus .",,,,,,,,,,,,,,,,
1383,9a31ceff27ac42d3a153bcc4148505b6bc3b3f63,"She only gave birth to daughter James three months ago, but Blake Lively is already showcasing her incredible post-baby body in all its glory. The 27-year-old actress, who welcomed her first child with Ryan Reynolds in January, has been out and about promoting her upcoming movie roles (and her new figure). So what's her secret? Long walks, yoga, hiking... and chocolate, it has been revealed. Blake Lively shows off her post-baby body in a plunging pink dress as she arrives at the Live With Kelly And Michael studios in New York on Tuesday morning . Although she has been parading her enviable curves at various events to promote her new movie, Age Of Adaline, in which she stars alongside Michiel Huisman and Harrison Ford, Blake says losing weight hasn't been a priority. Speaking to YOU magazine, Blake said: 'Losing weight is not something I have spent much time focusing on. With a new baby, it's just about eating well for her, because everything I eat goes right into her system. 'Your body goes through a lot after pregnancy and birth, so small, gentle workouts feel better.' Since welcoming her daughter, she has shunned the gym in favour of al fresco activities. She said: 'I hate the gym. Who doesn't? When I'm in the gym I feel like I am missing out. I would rather rent a bike or go for a hike.' Blake has been showcasing her trim figure in a variety of outfits, left and centre, at the Good Morning America studios and, right, on SiriusXM later on . Preserve striped wrap dress . Get Blake's dress! Visit site . That's quite an outfit, Blake. The bold pink hue, the contrasting black stripes and the lace up sandals - it's a little overboard all together in our opinion. But on their own? Absolutely. If you're looking to make a statement, then this dress is ideal with its stand-out design and is available, of course, on Blake Lively's lifestyle site - Preserve. Preserve is essentially a hand selection of products from artisans all over America who care about how things are made. This dress is one of many products on Blake's site, and it retails at just under $300. Click right to make it yours today! And Fashion Finder as ever has made your life easier by rounding up some similar pretty pink options in the carousel below. You're welcome! Diane von Furstenberg New Julian Two Mini Wrap Dress at Shopbop (Now $278.60) Visit site . New York & Company Wrap-Front Belted Shirt Dress (Now $45.46) Visit site . Lands End Women's Petite Knit Shirred Surplice Dress (Now $24.99) Visit site . Trina Turk Jeanna Dress at Zappos . Visit site . According to Yahoo! Health, Blake took prenatal yoga classes right up until her due date - and it seems that hard work pays off. Despite her trim figure, the cooking fanatic, who has her own blog, admits that she 'loves' to eat chocolate. A month after having her baby, Blake posted a picture of a hot chocolate with the caption, 'Name one thing better in winter than City Bakery hot chocolate…that's what I thought.' Although she has been parading her enviable curves at various events to promote her new movie, Blake, pictured arriving at Sirius radio in New York on Tuesday, says losing weight hasn't been a priority . In past interviews, Blake has explained that she prefers to fill her diet with fresh produce, blended juices and lean proteins. A source revealed that she had been eating plenty of lean proteins like turkey, chicken and venison to shed the baby weight. Despite her envy-inducing figure, Blake admitted that she has insecure days just like everyone else. She admitted: 'Some days I look in the mirror and think, ""Oh my gosh. I look like a potato."" You think that I would never feel bad about myself? I'm a human being - everybody has their insecurities. 'Ask Gisele [Bündchen] or Beyoncé. They will tell you that some days, they don't feel good about themselves.' Style chameleon: Her fifth look of the day was a pastel pink coat with matching high-waisted trousers and a tight mesh top, paired with some simple earrings by Lorraine Schwartz . Blake has been showcasing her new figure in a variety of on-trend outfits at various events and personal appearances to promote her acting roles. During one interview, she finally revealed why she gave her daughter the moniker James -  a name traditionally given to a boy. She told the host: 'It's a family name, and I liked having a boy's name.' Blake also revealed  that if she had one piece of advice for her beloved daughter, it would be, 'don't let anyone tell you no.' The 27-year-old actress also jokingly shared with host Jimmy Fallon that her 38-year-old spouse is 'pathetic' at parenting even revealing: 'I do everything, he does nothing!' At the Reynolds' household, the first-time parents currently have a bit of a competition regarding their only child. 'We're total rivals,' she shared explaining that she and Ryan are trying hard to teach little James to say her first word of 'dada' or 'mama.' 'Dada is banned in our house!' Blake admitted. By Royal appointment: Blake appeared to be off to a very fancy ball in this graphic print gown . This is getting silly now! For her eighth and final outfit, Blake went for the '70s retro look in these harem style trousers . Going wild: The star appears to be having lots of fun with her fashion as she enjoys a little time off from mommy duties . Blake and husband Ryan Reynolds, left, in October when she was pregnant, and, right, before falling pregnant .","Blake, 27, welcomed daughter James with Ryan Reynolds in January .
Actress has been parading her new figure promoting latest movie .
Swears by 'gentle' exercises such as hiking and bike rides .",,,,,,,,,,,,,,,,
4777,d00aba8ccab9056f8e2df5cc98d686dcce8ed420,"The woman who launched a social media campaign in a bid to return a sentimental ring which was discovered at a Bali resort has found the owner. Queensland resident Roxy Walsh took to her Facebook account after recovering the gold jewellery at the Finns Beach Club in Bali on Tuesday. The ring has what appears to be a family crest and engraved with a heartwarming message: 'Darling Joe, Happy 70th Birthday 2009, Love Jenny'. Fortunately, Ms Walsh said she has since been in contact with the owner and will be having breakfast with 'THE Joe and Jenny' in Noosa on Sunday. The snorkeller who discovered a sentimental ring at a Bali resort has found the owner of the gold jewellery . 'I cannot believe this, but WE have found Joe and Jenny!!' Ms Walsh said on Friday. 'I have spoken to Joe and he is over the moon that this special ring has been found and I am personally handing it back this weekend. 'What a crazy couple of days with an even crazier ending. One of the best things ever!!!!!' It's unknown when the ring was lost or where the couple are from. But revelations on social media suggest the pair are from the Sunshine Coast in Queensland. Queensland resident Roxy Walsh recovered the gold jewellery at the Finns Beach Club in Bali on Tuesday . Ms Walsh said she will be meeting with the pair this weekend to return the sentimental ring . Ms Walsh, from Palm Beach has also gotten the ring clean ahead of her meet with the couple on Sunday . The incredible outcome comes after Ms Walsh, from Palm Beach discovered the hidden treasure while snorkelling in Bali this week. 'So here's a super long shot,' Queensland resident Roxy Walsh wrote on Facebook. 'Found this gold ring snorkelling at Finns Beach Club in Bali today (April 7).' Daily Mail Australia has contacted Roxy Walsh for comment. After attracting an overwhelming response from the public, she decided to set up a separate Facebook page called 'Find Joe and Jenny'. Nearly 4000 users have joined the page as they follow the journey of reuniting the ring back to its' mystery owner. The post has been shared more than 128,000 times, taking the search for the special ring global. 'Sometimes hear of these things finding their way home so worth a shot,' Ms Walsh wrote. Roxy Walsh shared a photo of a gold ring she found on Facebook in the hope of finding its owner . Roxy Walsh (pictured in Bali) found the ring while snorkelling at Finns Beach Club in Bali on April 7 .","Queensland woman Roxy Walsh found an inscribed gold ring in Bali .
The sentimental jewellery piece was found at a Bali resort on Tuesday .
She launched a campaign to return the ring to the people who own it .
Ms Walsh said she has found the owner and will meet 'THE Joe and Jenny' for breakfast in Noosa on Sunday .
It's unknown when the ring was lost or where the couple are from .",,,,,,,,,,,,,,,,
1636,59e6d78224fde6fd1f5ca925fdf17c1d23862a8f,"A brazen thief has allegedly taken a diamond engagement ring from Christine Davidson just days before she passed away on Thursday . The family of a woman who battled  a cancerous brain tumour for 14 years has claimed her diamond engagement ring was 'forcefully removed and stolen' from her finger at a nursing home just days before she passed away. Christine Davidson, from Adelaide, South Australia, was diagnosed with terminal brain cancer in 2001, and told she only had between nine months to three years to live. After enduring an incredible 14 years of chemotherapy and radiation, the mother of two lost her battle to cancer last Thursday morning at an Adelaide nursing home at the age of 61. But four days before she died, her husband Ronny and their two daughters Symantha, 40, and Kelly, 38, noticed her  ring was missing from her finger. 'Dad  noticed the bruises around her finger and asked us if we managed to get the ring off,' Symantha told Daily Mail Australia. 'Three weeks prior to her passing, we tried to remove the ring because it started to cut her circulation but we had no luck after trying everything we could think of.' The family has launched a desperate online appeal in a bid to have their mother's ring returned. Christine Davidson (left) who was diagnosed with terminal brain cancer, pictured with her husband Ronny (right) and their daughter Symantha (centre) Christine and her husband Ronny were happily married for 41 years before she passed away . Kelly took to her Facebook account last Wednesday to post an emotional appeal and has since attracted more than 117,000 shares and almost 17,000 likes. 'We just don't understand how someone could steal from a dying woman,' Symantha said. 'The ring was a sign of mum and dad's long lasting love and their strong marriage – they were happily married for 41 years before she passed. 'Mum also promised to give the ring to her only granddaughter who she was very close to - My daughter Jayda, 17, but now she's devastated.' Christine was working at an insurance company before her sickness came on suddenly 14 years ago . Christine, who fell suddenly ill 14 years ago, pictured with her grandchildren last Christmas . On March 28, the family was told their mother, grandmother and wife was on her 'final stage of life'. 'She was a nanna to four amazing grandchildren and she was the best mum we could ever ask for,' Symantha said. 'The last 14 years was hard on our family because we were forced to watch her suffer but we're happy she's at peace now and she's not in pain anymore. 'Multiple neurosurgeons were blown away with what she had accomplished after she fought hard to kick the rare long-lasting tumour - she was a brave fighter.' Christine was diagnosed with terminal brain cancer and was told she only had up to three years to live . Symantha said she has informed the police about the missing ring. Daily Mail Australia has contacted South Australian police for comment. Christine lived at the retirement home, which the family has asked Daily Mail Australia to keep anonymous, for more than four years. 'The majority of the nurses were fantastic and mum was cared for very well,' Kelly said. Jewellery store SA Gold Diggers in Salisbury, South Australia has offered a $1000 reward for anyone providing information that leads to finding the missing ring. 'The generosity and kindness of people everywhere has absolutely blown us away,' Symantha said. Kelly and Symantha's mother Christine (pictured) during her younger years where she was riding a camel . The family of Christine Davidson (pictured) have paid an emotional tribute to their amazing mother and wife .","Christine Davidson lost her battle to cancer at an Adelaide nursing home .
Her diamond ring was last seen three weeks before she passed away .
The family has claimed a brazen thief is behind the missing ring .
The 61-year-old wanted to hand her ring down to her only granddaughter .
The family have launched an emotional public appeal to get her ring back .
A local jewellery store has offered a $1000 reward for anyone providing information that leads to finding the missing ring .",,,,,,,,,,,,,,,,
1541,71cfa34d7c8d2acd4244817fe963343b12e51928,"The Duchess of Cambridge is a modern-day suffragette who has done more to advance the cause of women than anyone else in recent years. Or so says actress Patsy Kensit, who made the comments in an interview with this week's Stylist magazine. Miss Kensit, 47, appeared in the magazine's regular 'Queen of Everything' feature and said the Duchess of Cambridge would be her 'regal inspiration'. Feminist icon: Patsy Kensit says the Duchess of Cambridge is 'our generation's suffragette' Charity work: The Duchess is famous for philanthropy but not, until now, feminism . She added: 'She's so fabulous on every level. She repeats outfits, which is brilliant. I know it's a shallow thing to say but I think it's done so much for women. 'I'm not going to be forced to have to look different every time I go out. She's like our generation's suffragette.' This is the first time that the Duchess, who spends much of her time doing charity work, has been lauded as a feminist icon. Although she has won plaudits for her dedication to children's charities such as The Art Room and Place2Be, her demure dress sense and closeness to her family has resulted in some criticism. Most recently, novelist Margaret Atwood revealed that she thinks Kate is an 'uneventful dresser' who is no match for Princess Diana. Suffragette: Emily Wilding Davison is pictured throwing herself in front of the King's horse in 1913 . Votes for women: Campaigners lobbying for votes for women became known as suffragettes . Critics: The Duchess was dubbed a 'machine made princess' by Hilary Mantel and 'drab' by Margaret Atwood . 'I think she's watching her back,' continued the 75-year-old author. 'I think she probably has people who pretty much tell her what is appropriate for her to wear. 'I don't think she's become the fashion plate that Diana was, and I think she's probably doing that advisably, wouldn't you say?' Miss Atwood isn't the only writer to criticise the Duchess, who is due to give birth to her second child later this month, in public. Double Booker Prize winner and Wolf Hall author Hilary Mantel has described Kate as being like a 'shop window mannequin' and a 'machine-made' princess who has been 'designed by committee'. Meanwhile Sandi Toksvig caused outrage when she said the Duchess doesn't have a 'single opinion' of her own, while Joan Smith produced a similar storm by labelling Kate 'unambitious and bland'.","Miss Kensit said the Duchess of Cambridge is 'our generation's suffragette'
The 47-year-old also said the Duchess was her 'regal inspiration'
Made the comments during an interview with a weekly fashion magazine .
Kate is famed for charity work but has never been dubbed a feminist before .
The Duchess is due to give birth to her second child later this month .",,,,,,,,,,,,,,,,
